"Field Name","IQ Field","Type","Beg","Size","End","Description","Validated","Required","Default Value","Notes"
"Dimension-Across",,"Text",1323,6,1328,"Dimension Across","Yes",,,"Length, Width or Blank"
"Envelope-Window",,"Text",1329,1,1329,"Flag - Window",,,"No (0)","0=No, 1=Yes"
"Width-2",,"Text",1330,19,1348,"Window Width / Inside Width",,,,"Format = >,>>>,>>>,>>9.99999999"
"Length-2",,"Text",1349,19,1367,"Window Length / Inside Length",,,,"Format = >,>>>,>>>,>>9.99999999"
"Height-2",,"Text",1368,19,1386,"Inside Height",,,,"Format = >,>>>,>>>,>>9.99999999"
"Flute-Size",,"Text",1387,30,1416,"Flute Size",,,,
"Window-Material",,"Text",1417,30,1446,"Window Material",,,,
"Window-Position-Left",,"Text",1447,19,1465,"Window Position Left",,,,"Format = >,>>>,>>>,>>9.99999999"
"Window-Position-Bottom",,"Text",1466,19,1484,"Window Position Bottom",,,,"Format = >,>>>,>>>,>>9.99999999"
"Security",,"Text",1485,1,1485,"Flag - Security",,,"No (0)","0=No, 1=Yes"
"Usable-Sides",,"Text",1486,1,1486,"Usable Sides",,,,
"Maximum-Impressions",,"Text",1487,9,1495,"Maximum Impressions",,,,"Format = >>>,>>>,>>9"
"Varnish",,"Text",1496,1,1496,"Flag - Varnish",,,"No (0)","0=No, 1=Yes"
"Coating",,"Text",1497,1,1497,"Flag - Coating",,,"No (0)","0=No, 1=Yes"
"Opacity",,"Text",1498,19,1516,"Opacity",,,,"Format = >,>>>,>>>,>>9.99999999"
"Grain-Direction",,"Text",1517,14,1530,"Grain Direction","Yes",,"Length","Not Applicable, Width, or Length"
"Qty-Sheets-Per-Carton",,"Text",1531,9,1539,"Quantity of Sheets per Carton",,,,"Format = >>>,>>>,>>9"
"Qty-Sheets-Per-Skid",,"Text",1540,9,1548,"Quantity of Sheets per Skid",,,,"Format = >>>,>>>,>>9"
"Core-Weight",,"Text",1549,19,1567,"Core Weight",,,,"Format = >,>>>,>>>,>>9.99999999"
